Link,Category,Section
https://bitpushnews.medium.com/why-bitcoins-proof-of-work-might-just-be-the-future-after-all-1f02b69d7496,Proof-of-work,Bitcoin
https://medium.com/the-crypto-kiosk/the-secret-war-against-bitcoins-proof-of-work-pow-b1a4e7ae0d02,Proof-of-work,Bitcoin
https://medium.com/@billtai/earths-greening-and-proof-of-work-satoshi-is-smiling-13dbf059025,Proof-of-work,Bitcoin
https://medium.com/hackernoon/asic-resistance-is-nothing-but-a-blockchain-buzzword-b91d3d770366,Proof-of-work,Bitcoin
https://hugonguyen.medium.com/bitcoin-chance-and-randomness-ba49a6edf933,Proof-of-work,Bitcoin
https://medium.com/swlh/bitcoins-proof-of-work-the-problem-of-the-byzantine-generals-33dc4540442,Proof-of-work,Bitcoin
https://www.investopedia.com/terms/p/proof-work.asp,Proof-of-work,Bitcoin
https://www.forbes.com/advisor/investing/cryptocurrency/proof-of-work/,Proof-of-work,Bitcoin
https://www.ledger.com/academy/blockchain/what-is-proof-of-work,Proof-of-work,Bitcoin
https://www.businessinsider.com/personal-finance/investing/proof-of-work,Proof-of-work,Bitcoin
https://medium.com/hackernoon/understanding-bitcoin-transaction-verification-a-childrens-story-3d877eb2641c?source=search_post---------10----------------------------,Transaction,Bitcoin
https://medium.com/@Elysian_Ely/transaction-fees-transaction-speed-a48c2e69909?source=search_post---------15----------------------------,Transaction,Bitcoin
https://medium.com/@coachschuman/a-deeper-understanding-of-bitcoin-mining-proof-of-work-2462bafa21db,Proof-of-work,Bitcoin
https://medium.com/@craig_10243/black-mirror-fb2457166a3d,Proof-of-work,Bitcoin
https://learnmeabitcoin.com/technical/mining/memory-pool/,Memory pool,Bitcoin
https://learnmeabitcoin.com/technical/mining/candidate-block/,Block,Bitcoin
https://learnmeabitcoin.com/technical/mining/target/,Mining,Bitcoin
https://learnmeabitcoin.com/technical/mining/coinbase-transaction/,Transaction,Bitcoin
https://learnmeabitcoin.com/technical/blockchain/hard-fork/,Hard fork,Bitcoin
https://learnmeabitcoin.com/technical/blockchain/51-attack/,51% attack,Bitcoin
https://learnmeabitcoin.com/technical/transaction/input/,Transaction,Bitcoin
https://learnmeabitcoin.com/technical/transaction/input/txid/,Transaction,Bitcoin
https://learnmeabitcoin.com/technical/transaction/input/vout/,Transaction,Bitcoin
https://learnmeabitcoin.com/technical/transaction/input/scriptsig/,Transaction,Bitcoin
https://learnmeabitcoin.com/technical/transaction/input/sequence/,Transaction,Bitcoin
https://learnmeabitcoin.com/technical/transaction/output/,Transaction,Bitcoin
