SectionID,SectionTitle,Color,ImageLink,WhitepaperLink,TwitterLink,WebsiteLink
27,Avail,#58C8F6,https://res.cloudinary.com/dotdojnco/image/upload/v1727021657/Encyclochain/Section/Data%20availability/ney9v1ajuobmchsdaekd.svg,https://docs.availproject.org/,https://x.com/AvailProject,https://www.availproject.org/
10,Zksync,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021393/Encyclochain/Section/Layer%202/jychd5slxs0oqm5kwr2q.svg,https://docs.zksync.io/,https://x.com/zksync,https://zksync.io/
12,Base,#0052FF,https://res.cloudinary.com/dotdojnco/image/upload/v1727021392/Encyclochain/Section/Layer%202/fjwduhf3srddazmxx3he.svg,https://docs.base.org/,https://x.com/base,https://www.base.org/
23,Scroll,#FFEEDA,https://res.cloudinary.com/dotdojnco/image/upload/v1727021392/Encyclochain/Section/Layer%202/hwqnna0gf1adze0tvbof.svg,https://docs.scroll.io/en/home/,https://x.com/Scroll_ZKP,https://scroll.io/
24,Linea,#61DFFF,https://res.cloudinary.com/dotdojnco/image/upload/v1727021392/Encyclochain/Section/Layer%202/fsegscaopd6eyeyaklh2.svg,https://docs.linea.build/,https://x.com/LineaBuild,https://linea.build/
14,Lending,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727020864/Encyclochain/Section/DeFi/ek8pxmvzcaofeiamrxwi.svg,,,
13,Liquid staking,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021436/Encyclochain/Section/DeFi/xlrldgn1ehv1jgvtgefj.svg,,,
25,Near,#00ec97,https://res.cloudinary.com/dotdojnco/image/upload/v1727021657/Encyclochain/Section/Data%20availability/r94tmupqmovjtvnyrtb2.svg,https://docs.near.org/build/chain-abstraction/data-availability,https://x.com/NEARProtocol,https://near.org/data-availability
20,RWA,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021437/Encyclochain/Section/DeFi/q7whglszjgp0eavvbdc4.svg,,,
18,Liquid restaking,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021436/Encyclochain/Section/DeFi/dmieyrr5ekxuzwf57dbw.svg,,,
19,CDP,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021435/Encyclochain/Section/DeFi/stc7e3obhldvtxvqsqht.svg,,,
7,Starknet,#0C0C4F,https://res.cloudinary.com/dotdojnco/image/upload/v1727021594/Encyclochain/Section/Layer%202/is7i5ovpxc7rpbayvf8t.svg,https://docs.starknet.io/,https://x.com/Starknet,https://www.starknet.io/
9,Optimism,#ff0420,https://res.cloudinary.com/dotdojnco/image/upload/v1727021392/Encyclochain/Section/Layer%202/y7yfn9v9mfatgyjicxca.svg,https://community.optimism.io/,https://x.com/Optimism,https://optimism.io/
22,Mantle,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021594/Encyclochain/Section/Layer%202/scjs79qfwwhiqrh3a1yf.svg,https://docs-v2.mantle.xyz/,https://x.com/0xMantle,https://www.mantle.xyz/
28,Covalent,#54FE6D,https://res.cloudinary.com/dotdojnco/image/upload/v1727021657/Encyclochain/Section/Data%20availability/amzk3ur5gbit3j620wrt.svg,https://www.covalenthq.com/docs/resources/covalent-network-whitepaper,https://x.com/Covalent_HQ,https://www.covalenthq.com/
26,Celestia,#7b2bf9,https://res.cloudinary.com/dotdojnco/image/upload/v1727021657/Encyclochain/Section/Data%20availability/iw54vlftt0g9ixfgouti.svg,https://docs.celestia.org/,https://x.com/CelestiaOrg,https://celestia.org/
11,Metis,#00CFF,https://res.cloudinary.com/dotdojnco/image/upload/v1727021392/Encyclochain/Section/Layer%202/mki2mll7reerzyr2yzdz.svg,https://docs.metis.io/dev,https://x.com/MetisL2,https://www.metis.io/
5,Bitcoin,#F7931A,https://res.cloudinary.com/dotdojnco/image/upload/v1726967095/Encyclochain/Section/Layer%201/rzsjqqqiqfmqlnphy8uz.svg,https://bitcoin.org/bitcoin.pdf,https://x.com/Bitcoin,https://bitcoin.org/fr/
3,Ethereum,#627EEA,https://res.cloudinary.com/dotdojnco/image/upload/v1726967095/Encyclochain/Section/Layer%201/ob8ozm287zdyl736dant.svg,https://ethereum.org/en/whitepaper/,https://x.com/ethereum,https://ethereum.org/
2,Bsc,#f0b90b,https://res.cloudinary.com/dotdojnco/image/upload/v1726967095/Encyclochain/Section/Layer%201/aoihmsbogqmoeq34jiyk.svg,https://github.com/bnb-chain/whitepaper/blob/master/assets/cross-chain.png,https://x.com/BNBChain,https://www.bnbchain.org/
1,Monero,#4c4c4c,https://res.cloudinary.com/dotdojnco/image/upload/v1726967095/Encyclochain/Section/Layer%201/uacpzpjbbfc6rbjujpkh.svg,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf,https://x.com/monero,https://www.getmonero.org/
4,Avalanche,#FF394A,https://res.cloudinary.com/dotdojnco/image/upload/v1727024879/Encyclochain/Section/Layer%201/kekuugu4tm4uims47vko.svg,https://www.avalabs.org/whitepapers,https://x.com/avax,https://www.avax.network/
6,Solana,#00000,https://res.cloudinary.com/dotdojnco/image/upload/v1727024884/Encyclochain/Section/Layer%201/csv6epvqanc9glnt8sfk.svg,https://solana.com/solana-whitepaper.pdf,https://x.com/solana,https://x.com/solana
17,Restacking,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021436/Encyclochain/Section/DeFi/vviqtmdls45sqkfshwwg.svg,,,
16,Dexes,#000000,https://res.cloudinary.com/dotdojnco/image/upload/v1727021435/Encyclochain/Section/DeFi/k0of3jdzowyyxd6fszlx.svg,,,
8,Arbtitrum,#213147,https://res.cloudinary.com/dotdojnco/image/upload/v1727021392/Encyclochain/Section/Layer%202/pfhrgo5kwjpu4vwlbi6t.svg,https://docs.arbitrum.io/welcome/get-started,https://x.com/arbitrum,https://arbitrum.io/
